year,month,date,created_at,category_code,bunrui_code,bunrui_name,date_bunrui_key,amount,memo
2023,12,15,2023/12/15,C,14,電気代,2023121514,5490,
2023,12,15,2023/12/15,G,15,通信費,2023121515,4708,
2023,12,15,2023/12/15,C,16,ガス代,2023121516,7194,
2023,12,15,2023/12/15,G,17,家賃,2023121517,107440,
2023,12,15,2023/12/15,C,18,水道代,2023121518,0,
2023,12,15,2023/12/15,D,19,ガソリン・ETC,2023121519,6285,
2023,12,15,2023/12/15,D,20,車維持費,2023121520,0,
2024,1,15,2024/1/15,A,01,みこ収入,2024011501,92546,
2024,1,15,2024/1/15,A,02,りさ収入,2024011502,42000,
2024,1,15,2024/1/15,A,03,臨時収入,2024011503,0,
2024,1,15,2024/1/15,B,10,食費,2024011510,29588,
2024,1,15,2024/1/15,B,11,外食費,2024011511,36848,
2024,1,15,2024/1/15,E,12,日用品,2024011512,11452,
2024,1,15,2024/1/15,F,13,行楽費,2024011513,24200,
2024,1,15,2024/1/15,Z,99,その他,2024011599,6680,
2024,1,15,2024/1/15,C,14,電気代,2024011514,6941,
2024,1,15,2024/1/15,G,15,通信費,2024011515,4708,
2024,1,15,2024/1/15,C,16,ガス代,2024011516,7641,
2024,1,15,2024/1/15,G,17,家賃,2024011517,87440,
2024,1,15,2024/1/15,C,18,水道代,2024011518,3724,
2024,1,15,2024/1/15,D,19,ガソリン・ETC,2024011519,6790,
2024,1,15,2024/1/15,D,20,車維持費,2024011520,0,
2024,2,15,2024/2/15,A,01,みこ収入,2024021501,96957,
2024,2,15,2024/2/15,A,02,りさ収入,2024021502,94850,
2024,2,15,2024/2/15,A,03,臨時収入,2024021403,0,
2024,2,15,2024/2/15,B,10,食費,2024021510,29530,
2024,2,15,2024/2/15,B,11,外食費,2024021511,9960,
2024,2,15,2024/2/15,E,12,日用品,2024021512,13732,
2024,2,15,2024/2/15,F,13,行楽費,2024021513,28400,
2024,2,15,2024/2/15,Z,99,その他,2024021599,6280,
2024,2,15,2024/2/15,C,14,電気代,2024021514,8309,
2024,2,15,2024/2/15,G,15,通信費,2024021515,4708,
2024,2,15,2024/2/15,C,16,ガス代,2024021516,0,
2024,2,15,2024/2/15,G,17,家賃,2024021517,87440,
2024,2,15,2024/2/15,C,18,水道代,2024021518,0,
2024,2,15,2024/2/15,D,19,ガソリン・ETC,2024021519,5864,
2024,2,15,2024/2/15,D,20,車維持費,2024021520,43980,
2024,3,15,2024/3/15,A,01,みこ収入,2024031501,51210,
2024,3,15,2024/3/15,A,02,りさ収入,2024031502,99100,
2024,3,15,2024/3/15,A,03,臨時収入,2024031503,0,
2024,3,15,2024/3/15,B,10,食費,2024031510,26509,
2024,3,15,2024/3/15,B,11,外食費,2024031511,9529,
2024,3,15,2024/3/15,E,12,日用品,2024031512,34503,
2024,3,15,2024/3/15,F,13,行楽費,2024031513,21400,
2024,3,15,2024/3/15,Z,99,その他,2024031599,6280,
2024,3,15,2024/3/15,C,14,電気代,2024031514,9642,
2024,3,15,2024/3/15,G,15,通信費,2024031515,1708,
2024,3,15,2024/3/15,C,16,ガス代,2024031516,10441,
